Year,State Population,County Name,State Abbreviation,County Population,BUYER_MME
2010,18804580,PALM BEACH,FL,1320135,1897698.5658720096
2010,18804580,PASCO,FL,464703,761605.8105572335
2010,18804580,PINELLAS,FL,916804,1438059.3423179933
2010,18804580,POLK,FL,602098,285711.95230702846
2010,18804580,PUTNAM,FL,74368,97258.92064856278
2010,18804580,ST. JOHNS,FL,190034,113272.6856979381
2010,18804580,ST. LUCIE,FL,277255,212293.2996272636
2010,18804580,SANTA ROSA,FL,151371,89435.96215725037
2010,18804580,SARASOTA,FL,379435,426108.3153456028
2010,18804580,SEMINOLE,FL,422713,491538.44898926583
2010,18804580,SUMTER,FL,93420,58311.86179680012
2010,18804580,SUWANNEE,FL,41555,13182.171206362511
2010,18804580,TAYLOR,FL,22571,9613.774046362505
2010,18804580,UNION,FL,15535,5090.004848174999
2010,18804580,VOLUSIA,FL,494596,481913.3875671777
2010,18804580,WAKULLA,FL,30783,8909.323653862506
2010,18804580,WALTON,FL,55043,36549.72888131255
2010,18804580,WASHINGTON,FL,24896,14208.243114900008
2011,19116423,ALACHUA,FL,250164,145750.68089928833
2011,19116423,BAKER,FL,27270,32777.55312000003
2011,19116423,BAY,FL,170906,73505.84484768817
2011,19116423,BRADFORD,FL,28422,21271.099192500016
2011,19116423,BREVARD,FL,550057,481720.14990375267
2011,19116423,BROWARD,FL,1773535,1492503.4476554003
2011,19116423,CALHOUN,FL,14620,2810.6887313624975
2011,19116423,CHARLOTTE,FL,163093,207165.20628813855
2011,19116423,CITRUS,FL,142067,148717.25340453823
2011,19116423,CLAY,FL,194016,149491.52033715093
2011,19116423,COLLIER,FL,328642,198903.37525608885
2011,19116423,COLUMBIA,FL,67898,50996.45302500019
2011,19116423,DESOTO,FL,35190,18280.029405000005
2011,19116423,DIXIE,FL,16457,2559.3821699999994
2011,19116423,DUVAL,FL,875006,659029.6981377836
2011,19116423,ESCAMBIA,FL,299859,146310.74382427632
2011,19116423,FLAGLER,FL,97749,58500.274695675165
2011,19116423,FRANKLIN,FL,11572,2695.1848163624995
2011,19116423,GADSDEN,FL,47513,10053.993885000007
2011,19116423,GILCHRIST,FL,17105,5709.070004999996
2011,19116423,GLADES,FL,12986,4646.4681
2011,19116423,GULF,FL,15899,3866.418202499998
2011,19116423,HAMILTON,FL,14738,3033.594877499999
2011,19116423,HARDEE,FL,27670,9282.533205000007
2011,19116423,HENDRY,FL,39445,26953.096248862515
2011,19116423,HERNANDO,FL,175038,239292.42987067625
2011,19116423,HIGHLANDS,FL,99616,54161.62926453762
2011,19116423,HILLSBOROUGH,FL,1255142,1533314.549951302
2011,19116423,HOLMES,FL,19868,5188.443866362493
2011,19116423,INDIAN RIVER,FL,140451,141158.72960861347
2011,19116423,JACKSON,FL,49579,16484.63848500002
2011,19116423,JEFFERSON,FL,14700,2823.451934999999
2011,19116423,LAFAYETTE,FL,8853,1307.1051675
2011,19116423,LAKE,FL,304482,179071.46538701418
2011,19116423,LEE,FL,635736,587055.7268651688
2011,19116423,LEON,FL,277611,58086.07297545035
2011,19116423,LEVY,FL,40797,36064.200581587545
2011,19116423,LIBERTY,FL,8377,821.8818
2011,19116423,MADISON,FL,19142,4642.083652499996
2011,19116423,MANATEE,FL,331876,326820.05507583875
2011,19116423,MARION,FL,334884,209503.1985488267
2011,19116423,MARTIN,FL,148610,137044.5964252131
2011,19116423,MIAMI-DADE,FL,2530959,1070607.759441298
2011,19116423,MONROE,FL,73332,71118.77676247522
